Date,Open,High,Low,Close,Vol
25/08/2008 00:00,1.1013,1.1029,1.0923,1.0972,247434
26/08/2008 00:00,1.0972,1.1086,1.09715,1.1,353246
27/08/2008 00:00,1.1,1.1025,1.0915,1.0956,302597
28/08/2008 00:00,1.0956,1.1013,1.0883,1.09855,417031
29/08/2008 00:00,1.09855,1.1039,1.09235,1.10125,291414
31/08/2008 00:00,1.0984,1.09985,1.09635,1.0985,24647
01/09/2008 00:00,1.09855,1.1046,1.0949,1.1017,251030
02/09/2008 00:00,1.1017,1.113,1.1014,1.10805,304539
03/09/2008 00:00,1.10805,1.1171,1.10405,1.105,382506
04/09/2008 00:00,1.105,1.1178,1.10075,1.1114,480426
05/09/2008 00:00,1.1114,1.11915,1.1067,1.1186,548348
07/09/2008 00:00,1.1186,1.1211,1.1149,1.1187,65923
08/09/2008 00:00,1.1187,1.13725,1.11255,1.1293,503270
09/09/2008 00:00,1.1293,1.1364,1.12135,1.1288,684732
10/09/2008 00:00,1.1289,1.1395,1.1242,1.13915,565168
11/09/2008 00:00,1.13915,1.14175,1.13345,1.1367,528705
12/09/2008 00:00,1.1367,1.1399,1.1291,1.1304,456457
14/09/2008 00:00,1.12931,1.12931,1.11541,1.1194,24726
15/09/2008 00:00,1.1194,1.12795,1.1053,1.113,845329
16/09/2008 00:00,1.113,1.1248,1.10445,1.12245,798279
17/09/2008 00:00,1.1224,1.1243,1.0991,1.1029,976638
18/09/2008 00:00,1.103,1.1108,1.08995,1.1088,758478
19/09/2008 00:00,1.1088,1.12785,1.10065,1.1046,521525
21/09/2008 00:00,1.10478,1.10505,1.1007,1.10215,76672
22/09/2008 00:00,1.10225,1.1049,1.0687,1.07425,382880
23/09/2008 00:00,1.0744,1.0888,1.07245,1.085,485052
24/09/2008 00:00,1.085,1.0933,1.0803,1.0878,404894
25/09/2008 00:00,1.0878,1.09405,1.0801,1.08505,450350
26/09/2008 00:00,1.08515,1.09145,1.0829,1.0902,302940
28/09/2008 00:00,1.09099,1.0947,1.0909,1.0929,32843
29/09/2008 00:00,1.09295,1.1087,1.08155,1.0937,497370
30/09/2008 00:00,1.0937,1.1246,1.0907,1.11905,580391
01/10/2008 00:00,1.11905,1.1291,1.11445,1.1277,566860
02/10/2008 00:00,1.1277,1.1413,1.12485,1.13415,463965
03/10/2008 00:00,1.13415,1.14025,1.12165,1.12885,483583
05/10/2008 00:00,1.12933,1.13705,1.12775,1.12935,57810
06/10/2008 00:00,1.12945,1.14855,1.1286,1.1473,736265
07/10/2008 00:00,1.14735,1.14825,1.136,1.1412,587999
08/10/2008 00:00,1.1413,1.1428,1.1208,1.1286,7947060
09/10/2008 00:00,1.1286,1.13425,1.12285,1.1307,14976510
10/10/2008 00:00,1.1307,1.14085,1.11275,1.1381,12479806
12/10/2008 00:00,1.13715,1.13715,1.1269,1.1309,563175
13/10/2008 00:00,1.131,1.144,1.12445,1.134,9771269
14/10/2008 00:00,1.134,1.13825,1.12725,1.13815,10677710
15/10/2008 00:00,1.13825,1.14055,1.12965,1.1331,9398866
16/10/2008 00:00,1.133,1.1489,1.12815,1.1342,11087568
